"Block","Condition","L1","L2","L3","L4","L5","L6","Letter_duration","accumulated_accuracy","correct_responses","count_correct","count_responses","exp_minutes","exp_seconds","number_responses","posLet1","posLet2","posLet3","posLet4","posLet5","posLet6","response","subject_nr","time_progress"
"0","1","L","S","X","J","M","P","71.8","1","2","2","2","0","7","2","top right","bot left","left","right","top left","bot right","MJ","111","0 minutes, 7 seconds"
"0","1","J","R","D","X","F","K","38.4","1","0","2","2","0","9","0","top left","bot right","bot left","top right","left","right","-","111","0 minutes, 9 seconds"
"0","2","L","E","F","A","S","G","205.4","0.333333333333","0","2","6","0","13","4","left","top right","bot left","bot right","top left","right","SLGA","111","0 minutes, 13 seconds"
"0","1","X","D","S","L","P","H","71.8","0.555555555556","3","5","9","0","16","3","top left","left","bot right","right","bot left","top right","DLP","111","0 minutes, 16 seconds"
"0","1","O","K","H","G","D","R","21.7","0.555555555556","0","5","9","0","18","0","bot left","right","left","top right","top left","bot right","-","111","0 minutes, 18 seconds"
"0","1","T","B","P","S","R","X","205.4","0.692307692308","4","9","13","0","21","4","left","top right","bot right","right","top left","bot left","BTSP","111","0 minutes, 21 seconds"
"0","2","T","E","S","J","G","O","38.4","0.5625","0","9","16","0","25","3","top left","left","right","bot left","bot right","top right","EJS","111","0 minutes, 25 seconds"
"0","1","P","B","O","Z","V","D","105.2","0.631578947368","3","12","19","0","28","3","bot right","left","top right","bot left","top left","right","BVP","111","0 minutes, 28 seconds"
"0","1","L","P","R","T","B","K","21.7","0.631578947368","0","12","19","0","30","0","right","top left","left","bot right","top right","bot left","-","111","0 minutes, 30 seconds"
"0","2","D","O","S","T","M","P","38.4","0.545454545455","0","12","22","0","34","3","bot right","left","right","top left","bot left","top right","OMD","111","0 minutes, 34 seconds"
"0","1","F","R","J","X","B","Z","205.4","0.56","2","14","25","0","38","3","right","bot right","top left","bot left","top right","left","JZS","111","0 minutes, 38 seconds"
"0","1","H","Z","G","M","O","S","38.4","0.576923076923","1","15","26","0","41","1","top left","right","top right","bot left","bot right","left","S","111","0 minutes, 41 seconds"
"0","1","M","O","P","X","D","Z","205.4","0.633333333333","4","19","30","0","45","4","left","top left","bot left","right","top right","bot right","OMDP","111","0 minutes, 45 seconds"
"0","1","O","M","J","A","H","F","21.7","0.645161290323","1","20","31","0","47","1","bot left","right","top left","left","bot right","top right","M","111","0 minutes, 47 seconds"
"0","1","G","H","T","N","F","D","71.8","0.666666666667","2","22","33","0","50","2","top right","top left","bot left","right","bot right","left","DG","111","0 minutes, 50 seconds"
"0","2","A","D","M","R","P","F","38.4","0.611111111111","0","22","36","0","54","3","right","left","top left","top right","bot right","bot left","DRP","111","0 minutes, 54 seconds"
"0","2","A","F","X","H","R","Z","205.4","0.564102564103","0","22","39","0","57","3","bot right","right","top left","left","bot left","top right","ZFA","111","0 minutes, 57 seconds"
"0","2","X","S","D","Z","L","K","205.4","0.511627906977","0","22","43","1","0","4","right","top left","bot left","bot right","top right","left","SKDL","111","1 minutes, 0 seconds"
"0","1","H","R","O","A","J","E","105.2","0.5","1","23","46","1","4","3","top right","right","top left","left","bot left","bot right","OKS","111","1 minutes, 4 seconds"
"0","1","O","R","H","X","B","D","105.2","0.520833333333","2","25","48","1","7","2","top right","right","left","top left","bot left","bot right","HR","111","1 minutes, 7 seconds"
"0","1","P","O","M","F","G","T","38.4","0.530612244898","1","26","49","1","9","1","top right","left","bot left","right","top left","bot right","O","111","1 minutes, 9 seconds"
